season,team1,team2,date,winner,Venue
2015,England,Sri Lanka,2015/03/01,Sri Lanka,"Sky Stadium, Wellington"
2015,Pakistan,Zimbabwe,2015/03/01,Pakistan,"The Gabba, Brisbane"
2015,Ireland,South Africa,2015/03/03,South Africa,"Manuka Oval, Canberra"
2015,Pakistan,United Arab Emirates,2015/03/04,Pakistan,"McLean Park, Napier"
2015,Australia,Afghanistan,2015/03/04,Australia,"W.A.C.A. Ground, Perth"
2015,Bangladesh,Scotland,2015/03/05,Bangladesh,"Saxton Oval, Nelson"
2015,India,West Indies,2015/03/06,India,"W.A.C.A. Ground, Perth"
2015,Pakistan,South Africa,2015/03/07,Pakistan,"Eden Park, Auckland"
2015,Ireland,Zimbabwe,2015/03/07,Ireland,"Bellerive Oval, Hobart"
2015,New Zealand,Afghanistan,2015/03/08,New Zealand,"McLean Park, Napier"
2015,Australia,Sri Lanka,2015/03/08,Australia,"Sydney Cricket Ground, Sydney"
2015,England,Bangladesh,2015/03/09,Bangladesh,"Adelaide Oval, Adelaide"
2015,India,Ireland,2015/03/10,India,"Seddon Park, Hamilton"
2015,Sri Lanka,Scotland,2015/03/11,Sri Lanka,"Bellerive Oval, Hobart"
2015,South Africa,United Arab Emirates,2015/03/12,South Africa,"Sky Stadium, Wellington"
2015,New Zealand,Bangladesh,2015/03/13,New Zealand,"Seddon Park, Hamilton"
2015,Afghanistan,England,2015/03/13,Eng,"Sydney Cricket Ground, Sydney"
2015,India,Zimbabwe,2015/03/14,India,"Eden Park, Auckland"
2015,Australia,Scotland,2015/03/14,Australia,"Bellerive Oval, Hobart"
2015,West Indies,United Arab Emirates,2015/03/15,West Indies,"McLean Park, Napier"
2015,Ireland,Pakistan,2015/03/15,Pakistan,"Adelaide Oval, Adelaide"
2015,Sri Lanka,South Africa,2015/03/18,South Africa,"Sydney Cricket Ground, Sydney"
2015,Bangladesh,India,2015/03/19,India,"Melbourne Cricket Ground, Melbourne"
2015,Australia,Pakistan,2015/03/20,Australia,"Adelaide Oval, Adelaide"
2015,New Zealand,West Indies,2015/03/21,New Zealand,"Sky Stadium, Wellington"
2015,New Zealand,South Africa,2015/03/24,NZ,"Eden Park, Auckland"
2015,Australia,India,2015/03/26,Australia,"Sydney Cricket Ground, Sydney"
2015,New Zealand,Australia,2015/03/29,Australia,"Melbourne Cricket Ground, Melbourne"
2011,Bangladesh,India,2011/02/19,India,"Shere Bangla National Stadium, Dhaka"
2011,New Zealand,Kenya,2011/02/20,New Zealand,"MA Chidambaram Stadium, Chennai"
2011,Sri Lanka,Canada,2011/02/20,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota"
2011,Australia,Zimbabwe,2011/02/21,Australia,"Narendra Modi Stadium, Ahmedabad"
2011,England,Netherlands,2011/02/22,England,"Vidarbha Cricket Association Stadium, Nagpur"
2011,Pakistan,Kenya,2011/02/23,Pakistan,"Mahinda Rajapaksa International Stadium, Hambantota"
2011,South Africa,West Indies,2011/02/24,South Africa,"Arun Jaitley Stadium, Delhi"
2011,Australia,New Zealand,2011/02/25,Australia,"Vidarbha Cricket Association Stadium, Nagpur"
2011,Bangladesh,Ireland,2011/02/25,Bangladesh,"Shere Bangla National Stadium, Dhaka"
2011,Sri Lanka,Pakistan,2011/02/26,Pakistan,"R.Premadasa Stadium, Colombo"
2011,India,England,2011/02/27,Match tied,"M.Chinnaswamy Stadium, Bengaluru"
2011,Zimbabwe,Canada,2011/02/28,Zimbabwe,"Vidarbha Cricket Association Stadium, Nagpur"
2011,West Indies,Netherlands,2011/02/28,West Indies,"Arun Jaitley Stadium, Delhi"
2011,Sri Lanka,Kenya,2011/03/01,Sri Lanka,"R.Premadasa Stadium, Colombo"
2011,England,Ireland,2011/03/02,Ireland,"M.Chinnaswamy Stadium, Bengaluru"
2011,South Africa,Netherlands,2011/03/03,South Africa,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2011,Pakistan,Canada,2011/03/03,Pakistan,"R.Premadasa Stadium, Colombo"
2011,New Zealand,Zimbabwe,2011/03/04,New Zealand,"Narendra Modi Stadium, Ahmedabad"
2011,Bangladesh,West Indies,2011/03/04,West Indies,"Shere Bangla National Stadium, Dhaka"
2011,Sri Lanka,Australia,2011/03/05,Match abandoned due to rain,"R.Premadasa Stadium, Colombo"
2011,England,South Africa,2011/03/06,England,"MA Chidambaram Stadium, Chennai"
2011,India,Ireland,2011/03/06,India,"M.Chinnaswamy Stadium, Bengaluru"
2011,Kenya,Canada,2011/03/07,Canada,"Arun Jaitley Stadium, Delhi"
2011,Pakistan,New Zealand,2011/03/08,New Zealand,"Pallekele International Cricket Stadium, Pallekele"
2011,India,Netherlands,2011/03/09,India,"Arun Jaitley Stadium, Delhi"
2011,Sri Lanka,Zimbabwe,2011/03/10,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele"
2011,West Indies,Ireland,2011/03/11,West Indies,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2011,Bangladesh,England,2011/03/11,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2011,India,South Africa,2011/03/12,South Africa,"Vidarbha Cricket Association Stadium, Nagpur"
2011,New Zealand,Canada,2011/03/13,New Zealand,"Wankhede Stadium, Mumbai"
2011,Australia,Kenya,2011/03/13,Australia,"M.Chinnaswamy Stadium, Bengaluru"
2011,Bangladesh,Netherlands,2011/03/14,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2011,Pakistan,Zimbabwe,2011/03/14,Pakistan,"Pallekele International Cricket Stadium, Pallekele"
2011,South Africa,Ireland,2011/03/15,South Africa,"Eden Gardens, Kolkata"
2011,Australia,Canada,2011/03/16,Australia,"M.Chinnaswamy Stadium, Bengaluru"
2011,England,West Indies,2011/03/17,England,"MA Chidambaram Stadium, Chennai"
2011,Ireland,Netherlands,2011/03/18,Ireland,"Eden Gardens, Kolkata"
2011,Sri Lanka,New Zealand,2011/03/18,Sri Lanka,"Wankhede Stadium, Mumbai"
2011,Bangladesh,South Africa,2011/03/19,South Africa,"Shere Bangla National Stadium, Dhaka"
2011,Australia,Pakistan,2011/03/19,Pakistan,"R.Premadasa Stadium, Colombo"
2011,Zimbabwe,Kenya,2011/03/20,Zimbabwe,"Eden Gardens, Kolkata"
2011,India,West Indies,2011/03/20,India,"MA Chidambaram Stadium, Chennai"
2011,Pakistan,West Indies,2011/03/23,Pakistan,"Shere Bangla National Stadium, Dhaka"
2011,India,Australia,2011/03/24,India,"Narendra Modi Stadium A Ground, Ahmedabad"
2011,New Zealand,South Africa,2011/03/25,New Zealand,"Shere Bangla National Stadium, Dhaka"
2011,Sri Lanka,England,2011/03/26,Sri Lanka,"R.Premadasa Stadium, Colombo"
2011,Sri Lanka,New Zealand,2011/03/29,Sri Lanka,"R.Premadasa Stadium, Colombo"
2011,India,Pakistan,2011/03/30,India,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2011,India,Sri Lanka,2011/04/02,India,"Wankhede Stadium, Mumbai"
2007,West Indies,Pakistan,2007/03/13,West Indies,"Sabina Park, Kingston, Jamaica"
2007,Australia,Scotland,2007/03/14,Australia,"Warner Park, Basseterre, St Kitts"
2007,Canada,Kenya,2007/03/14,Kenya,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Bermuda,Sri Lanka,2007/03/15,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad"
2007,Ireland,Zimbabwe,2007/03/15,Match tied,"Sabina Park, Kingston, Jamaica"
2007,England,New Zealand,2007/03/16,New Zealand,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Netherlands,South Africa,2007/03/16,South Africa,"Warner Park, Basseterre, St Kitts"
2007,Bangladesh,India,2007/03/17,Bangladesh,"Queen's Park Oval, Port of Spain, Trinidad"
2007,Ireland,Pakistan,2007/03/17,Ireland,"Sabina Park, Kingston, Jamaica"
2007,Australia,Netherlands,2007/03/18,Australia,"Warner Park, Basseterre, St Kitts"
2007,Canada,England,2007/03/18,England,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Bermuda,India,2007/03/19,India,"Queen's Park Oval, Port of Spain, Trinidad"
2007,West Indies,Zimbabwe,2007/03/19,West Indies,"Sabina Park, Kingston, Jamaica"
2007,Scotland,South Africa,2007/03/20,South Africa,"Warner Park, Basseterre, St Kitts"
2007,Kenya,New Zealand,2007/03/20,New Zealand,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Bangladesh,Sri Lanka,2007/03/21,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad"
2007,Pakistan,Zimbabwe,2007/03/21,Pakistan,"Sabina Park, Kingston, Jamaica"
2007,Netherlands,Scotland,2007/03/22,Netherlands,"Warner Park, Basseterre, St Kitts"
2007,Canada,New Zealand,2007/03/22,New Zealand,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,India,Sri Lanka,2007/03/23,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad"
2007,West Indies,Ireland,2007/03/23,West Indies,"Sabina Park, Kingston, Jamaica"
2007,Australia,South Africa,2007/03/24,Australia,"Warner Park, Basseterre, St Kitts"
2007,England,Kenya,2007/03/24,England,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Bangladesh,Bermuda,2007/03/25,Bangladesh,"Queen's Park Oval, Port of Spain, Trinidad"
2007,West Indies,Australia,2007/03/27,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,South Africa,Sri Lanka,2007/03/28,South Africa,"Providence Stadium, Guyana"
2007,West Indies,New Zealand,2007/03/29,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,England,Ireland,2007/03/30,England,"Providence Stadium, Guyana"
2007,Australia,Bangladesh,2007/03/31,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,West Indies,Sri Lanka,2007/04/01,Sri Lanka,"Providence Stadium, Guyana"
2007,Bangladesh,New Zealand,2007/04/02,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,Ireland,South Africa,2007/04/03,South Africa,"Providence Stadium, Guyana"
2007,England,Sri Lanka,2007/04/04,Sri Lanka,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,Bangladesh,South Africa,2007/04/07,Bangladesh,"Providence Stadium, Guyana"
2007,Australia,England,2007/04/08,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,Ireland,New Zealand,2007/04/09,New Zealand,"Providence Stadium, Guyana"
2007,West Indies,South Africa,2007/04/10,South Africa,"National Cricket Stadium, St George's, Grenada"
2007,Bangladesh,England,2007/04/11,England,"Kensington Oval, Bridgetown, Barbados"
2007,New Zealand,Sri Lanka,2007/04/12,Sri Lanka,"National Cricket Stadium, St George's, Grenada"
2007,Australia,Ireland,2007/04/13,Australia,"Kensington Oval, Bridgetown, Barbados"
2007,New Zealand,South Africa,2007/04/14,New Zealand,"National Cricket Stadium, St George's, Grenada"
2007,Bangladesh,Ireland,2007/04/15,Ireland,"Kensington Oval, Bridgetown, Barbados"
2007,Australia,Sri Lanka,2007/04/16,Australia,"National Cricket Stadium, St George's, Grenada"
2007,England,South Africa,2007/04/17,South Africa,"Kensington Oval, Bridgetown, Barbados"
2007,Ireland,Sri Lanka,2007/04/18,Sri Lanka,"National Cricket Stadium, St George's, Grenada"
2007,West Indies,Bangladesh,2007/04/19,West Indies,"Kensington Oval, Bridgetown, Barbados"
2007,Australia,New Zealand,2007/04/20,Australia,"National Cricket Stadium, St George's, Grenada"
2007,West Indies,England,2007/04/21,England,"Kensington Oval, Bridgetown, Barbados"
2007,New Zealand,Sri Lanka,2007/04/24,Sri Lanka,"Sabina Park, Kingston, Jamaica"
2007,Australia,South Africa,2007/04/25,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Australia,Sri Lanka,2007/04/28,Australia,"Kensington Oval, Bridgetown, Barbados"
2003,South Africa,West Indies,2003/02/09,West Indies,"Newlands, Cape Town"
2003,New Zealand,Sri Lanka,2003/02/10,Sri Lanka,"Mangaung Oval, Bloemfontein"
2003,Zimbabwe,Namibia,2003/02/10,Zimbabwe,"Harare Sports Club, Harare"
2003,Australia,Pakistan,2003/02/11,Australia,"The Wanderers Stadium, Johannesburg"
2003,Bangladesh,Canada,2003/02/11,Canada,"Kingsmead, Durban"
2003,South Africa,Kenya,2003/02/12,South Africa,"Senwes Park, Potchefstroom"
2003,India,Netherlands,2003/02/12,India,"Boland Park, Paarl"
2003,Zimbabwe,England,2003/02/13,Zimbabwe,"Harare Sports Club, Harare"
2003,New Zealand,West Indies,2003/02/13,New Zealand,"St George's Park, Gqeberha"
2003,Bangladesh,Sri Lanka,2003/02/14,Sri Lanka,"City Oval, Pietermaritzburg"
2003,Australia,India,2003/02/15,Australia,"SuperSport Park, Centurion"
2003,Canada,Kenya,2003/02/15,Kenya,"Newlands, Cape Town"
2003,England,Netherlands,2003/02/16,England,"Buffalo Park, East London"
2003,South Africa,New Zealand,2003/02/16,New Zealand,"The Wanderers Stadium, Johannesburg"
2003,Namibia,Pakistan,2003/02/16,Pakistan,"Diamond Oval, Kimberley"
2003,Bangladesh,West Indies,2003/02/18,No result,"Willowmoore Park, Benoni"
2003,England,Namibia,2003/02/19,England,"St George's Park, Gqeberha"
2003,Canada,Sri Lanka,2003/02/19,Sri Lanka,"Boland Park, Paarl"
2003,Zimbabwe,India,2003/02/19,India,"Harare Sports Club, Harare"
2003,Australia,Netherlands,2003/02/20,Australia,"Senwes Park, Potchefstroom"
2003,Kenya,New Zealand,2003/02/21,Kenya,"Gymkhana Club Ground, Nairobi"
2003,England,Pakistan,2003/02/22,England,"Newlands, Cape Town"
2003,South Africa,Bangladesh,2003/02/22,South Africa,"Mangaung Oval, Bloemfontein"
2003,India,Namibia,2003/02/23,India,"City Oval, Pietermaritzburg"
2003,Canada,West Indies,2003/02/23,West Indies,"SuperSport Park, Centurion"
2003,Kenya,Sri Lanka,2003/02/24,Kenya,"Gymkhana Club Ground, Nairobi"
2003,Zimbabwe,Australia,2003/02/24,Australia,"Queens Sports Club, Bulawayo"
2003,Netherlands,Pakistan,2003/02/25,Pakistan,"Boland Park, Paarl"
2003,England,India,2003/02/26,India,"Kingsmead, Durban"
2003,Bangladesh,New Zealand,2003/02/26,New Zealand,"Diamond Oval, Kimberley"
2003,Australia,Namibia,2003/02/27,Australia,"Senwes Park, Potchefstroom"
2003,South Africa,Canada,2003/02/27,South Africa,"Buffalo Park, East London"
2003,Sri Lanka,West Indies,2003/02/28,Sri Lanka,"Newlands, Cape Town"
2003,Zimbabwe,Netherlands,2003/02/28,Zimbabwe,"Queens Sports Club, Bulawayo"
2003,India,Pakistan,2003/03/01,India,"SuperSport Park, Centurion"
2003,Bangladesh,Kenya,2003/03/01,Kenya,"The Wanderers Stadium, Johannesburg"
2003,Australia,England,2003/03/02,Australia,"St George's Park, Gqeberha"
2003,South Africa,Sri Lanka,2003/03/03,Match tied (D/L method),"Kingsmead, Durban"
2003,Namibia,Netherlands,2003/03/03,Netherlands,"Mangaung Oval, Bloemfontein"
2003,Canada,New Zealand,2003/03/03,New Zealand,"Willowmoore Park, Benoni"
2003,Zimbabwe,Pakistan,2003/03/04,No result,"Queens Sports Club, Bulawayo"
2003,Kenya,West Indies,2003/03/04,West Indies,"Diamond Oval, Kimberley"
2003,India,Kenya,2003/03/07,India,"Newlands, Cape Town"
2003,Australia,Sri Lanka,2003/03/07,Australia,"SuperSport Park, Centurion"
2003,New Zealand,Zimbabwe,2003/03/08,New Zealand,"Mangaung Oval, Bloemfontein"
2003,India,Sri Lanka,2003/03/10,India,"The Wanderers Stadium, Johannesburg"
2003,Australia,New Zealand,2003/03/11,Australia,"St George's Park, Gqeberha"
2003,Kenya,Zimbabwe,2003/03/12,Kenya,"Mangaung Oval, Bloemfontein"
2003,India,New Zealand,2003/03/14,India,"SuperSport Park, Centurion"
2003,Sri Lanka,Zimbabwe,2003/03/15,Sri Lanka,"Buffalo Park, East London"
2003,Australia,Kenya,2003/03/15,Australia,"Kingsmead, Durban"
2003,Australia,Sri Lanka,2003/03/18,Australia,"St George's Park, Gqeberha"
2003,India,Kenya,2003/03/20,India,"Kingsmead, Durban"
2003,Australia,India,2003/03/23,Australia,"The Wanderers Stadium, Johannesburg"
1999,England,Sri Lanka,1999/05/14,England,"Lord's, London"
1999,India,South Africa,1999/05/15,South Africa,"County Ground, Brighton"
1999,Kenya,Zimbabwe,1999/05/15,Zimbabwe,"The Cooper Associates County Ground, Taunton"
1999,Pakistan,West Indies,1999/05/16,Pakistan,"County Ground, Bristol"
1999,Australia,Scotland,1999/05/16,Australia,"New Road, Worcester"
1999,Bangladesh,New Zealand,1999/05/17,New Zealand,"County Ground, Chelmsford"
1999,England,Kenya,1999/05/18,England,"St Lawrence Ground, Canterbury"
1999,India,Zimbabwe,1999/05/19,Zimbabwe,"Grace Road, Leicester"
1999,South Africa,Sri Lanka,1999/05/19,South Africa,"County Ground, Northampton"
1999,Australia,New Zealand,1999/05/20,New Zealand,"Sophia Gardens, Cardiff"
1999,Pakistan,Scotland,1999/05/20,Pakistan,"Riverside Ground, Chester-le-Street"
1999,Bangladesh,West Indies,1999/05/21,West Indies,"Castle Avenue, Dublin"
1999,England,South Africa,1999/05/22,South Africa,"Kennington Oval, London"
1999,Sri Lanka,Zimbabwe,1999/05/22,Sri Lanka,"New Road, Worcester"
1999,India,Kenya,1999/05/23,India,"County Ground, Bristol"
1999,Australia,Pakistan,1999/05/23,Pakistan,"Headingley, Leeds"
1999,New Zealand,West Indies,1999/05/24,West Indies,"County Ground, Southampton"
1999,Scotland,Bangladesh,1999/05/24,Bangladesh,"Grange Cricket Club, Edinburgh"
1999,England,Zimbabwe,1999/05/25,England,"Trent Bridge, Nottingham"
1999,Kenya,South Africa,1999/05/26,South Africa,"VRA Cricket Ground, Amstelveen"
1999,India,Sri Lanka,1999/05/26,India,"The Cooper Associates County Ground, Taunton"
1999,Scotland,West Indies,1999/05/27,West Indies,"Grace Road, Leicester"
1999,Australia,Bangladesh,1999/05/27,Australia,"Riverside Ground, Chester-le-Street"
1999,New Zealand,Pakistan,1999/05/28,Pakistan,"County Ground, Derby"
1999,England,India,1999/05/29,India,"Edgbaston, Birmingham"
1999,South Africa,Zimbabwe,1999/05/29,Zimbabwe,"County Ground, Chelmsford"
1999,Australia,West Indies,1999/05/30,Australia,"Emirates Old Trafford, Manchester"
1999,Kenya,Sri Lanka,1999/05/30,Sri Lanka,"County Ground, Southampton"
1999,Bangladesh,Pakistan,1999/05/31,Bangladesh,"County Ground, Northampton"
1999,Scotland,New Zealand,1999/05/31,New Zealand,"Grange Cricket Club, Edinburgh"
1999,Australia,India,1999/06/04,Australia,"Kennington Oval, London"
1999,Pakistan,South Africa,1999/06/05,South Africa,"Trent Bridge, Nottingham"
1999,New Zealand,Zimbabwe,1999/06/06,No result,"Headingley, Leeds"
1999,India,Pakistan,1999/06/08,India,"Emirates Old Trafford, Manchester"
1999,Australia,Zimbabwe,1999/06/09,Australia,"Lord's, London"
1999,New Zealand,South Africa,1999/06/10,South Africa,"Edgbaston, Birmingham"
1999,Pakistan,Zimbabwe,1999/06/11,Pakistan,"Kennington Oval, London"
1999,India,New Zealand,1999/06/12,New Zealand,"Trent Bridge, Nottingham"
1999,Australia,South Africa,1999/06/13,Australia,"Headingley, Leeds"
1999,New Zealand,Pakistan,1999/06/16,Pakistan,"Emirates Old Trafford, Manchester"
1999,Australia,South Africa,1999/06/17,Match tied,"Edgbaston, Birmingham"
1999,Australia,Pakistan,1999/06/20,Australia,"Lord's, London"
