team1,team2,winner,Venue,date,season
Scotland,Zimbabwe,Zimbabwe,"Grange Cricket Club, Edinburgh",2017/06/17,2017
India,Pakistan,Pakistan,"The Oval, Surrey",2017/06/18,2017
West Indies,India,no result,"Port of spain, spain",2017/06/23,2017
West Indies,India,India,"Port of spain, spain",2017/06/25,2017
Sri Lanka,Zimbabwe,Zimbabwe,Galle,2017/06/30,2017
West Indies,India,India,"SVR, North Sound",2017/06/30,2017
Sri Lanka,Zimbabwe,Sri Lanka,Galle,2017/07/02,2017
West Indies,India,West Indies,"SVR, North Sound",2017/07/02,2017
Sri Lanka,Zimbabwe,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota",2017/07/06,2017
West Indies,India,India,"Sabina Park, Kingston",2017/07/06,2017
Sri Lanka,Zimbabwe,Zimbabwe,"Mahinda Rajapaksa International Stadium, Hambantota",2017/07/08,2017
Sri Lanka,Zimbabwe,Zimbabwe,"Mahinda Rajapaksa International Stadium, Hambantota",2017/07/10,2017
Sri Lanka,India,India,Dambulla,2017/08/20,2017
Sri Lanka,India,India,"Pallekele International Cricket Stadium, Pallekele",2017/08/24,2017
Sri Lanka,India,India,"Pallekele International Cricket Stadium, Pallekele",2017/08/27,2017
Sri Lanka,India,India,"R.Premadasa Stadium, Colombo",2017/08/31,2017
Sri Lanka,India,India,"R.Premadasa Stadium, Colombo",2017/09/03,2017
India,Australia,India,"MA Chidambaram Stadium, Chennai",2017/09/17,2017
England,West Indies,England,"Emirates Old Trafford, Manchester",2017/09/19,2017
India,Australia,India,"Eden Gardens, Kolkata",2017/09/21,2017
England,West Indies,no result,"Trent Bridge, Nottingham",2017/09/21,2017
India,Australia,India,"Indore Stadium, Indore",2017/09/24,2017
England,West Indies,England,"County Ground, Bristol",2017/09/24,2017
England,West Indies,England,"The Oval, Surrey",2017/09/27,2017
India,Australia,Australia,"M.Chinnaswamy Stadium, Bengaluru",2017/09/28,2017
England,West Indies,England,"County Ground, Southampton",2017/09/29,2017
India,Australia,India,"Vidarbha Cricket Association Stadium, Nagpur",2017/10/01,2017
P.N.G.,Scotland,Scotland,"Port Moresby, Moresby",2017/10/06,2017
P.N.G.,Scotland,P.N.G.,"Port Moresby, Moresby",2017/10/08,2017
Pakistan,Sri Lanka,Pakistan,"DSC, Dubai",2017/10/13,2017
South Africa,Bangladesh,South Africa,"Diamond Oval, Kimberley",2017/10/15,2017
Pakistan,Sri Lanka,Pakistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2017/10/16,2017
South Africa,Bangladesh,South Africa,"Boland Park, Paarl",2017/10/18,2017
Pakistan,Sri Lanka,Pakistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2017/10/18,2017
Pakistan,Sri Lanka,Pakistan,"Sharjah Cricket Stadium, Sharjah",2017/10/20,2017
India,New Zealand,New Zealand,"Wankhede Stadium, Mumbai",2017/10/22,2017
South Africa,Bangladesh,South Africa,"Buffalo Park, East London",2017/10/22,2017
Pakistan,Sri Lanka,Pakistan,"Sharjah Cricket Stadium, Sharjah",2017/10/23,2017
India,New Zealand,India,"Maharashtra Cricket Association Stadium, Pune",2017/10/25,2017
India,New Zealand,India,Kanpur,2017/10/29,2017
P.N.G.,Scotland,Scotland,"DSC, Dubai",2017/11/24,2017
P.N.G.,Scotland,Scotland,"DSC, Dubai",2017/11/25,2017
Afghanistan,Ireland,Afghanistan,"Sharjah Cricket Stadium, Sharjah",2017/12/05,2017
Hong Kong,P.N.G.,Hong Kong,"ICCA, Dubai",2017/12/06,2017
Afghanistan,Ireland,Ireland,"Sharjah Cricket Stadium, Sharjah",2017/12/07,2017
Hong Kong,P.N.G.,Hong Kong,"ICCA, Dubai",2017/12/08,2017
India,Sri Lanka,Sri Lanka,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2017/12/10,2017
Afghanistan,Ireland,Ireland,"Sharjah Cricket Stadium, Sharjah",2017/12/10,2017
India,Sri Lanka,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017/12/13,2017
India,Sri Lanka,India,"ACA-VDCA, Visakhapatnam",2017/12/17,2017
New Zealand,West Indies,New Zealand,Whangarei,2017/12/20,2017
New Zealand,West Indies,New Zealand,"Hagley Oval, Christchurch",2017/12/23,2017
New Zealand,West Indies,New Zealand,"Hagley Oval, Christchurch",2017/12/26,2017
Afghanistan,Scotland,Afghanistan,"ICCA, Dubai",2015/01/08,2015
Afghanistan,Ireland,Ireland,"DSC, Dubai",2015/01/10,2015
New Zealand,Sri Lanka,New Zealand,"Hagley Oval, Christchurch",2015/01/11,2015
Ireland,Scotland,Ireland,"DSC, Dubai",2015/01/12,2015
Afghanistan,Scotland,Scotland,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2015/01/14,2015
New Zealand,Sri Lanka,Sri Lanka,"Seddon Park, Hamilton",2015/01/15,2015
Australia,England,Australia,"Sydney Cricket Ground, Sydney",2015/01/16,2015
South Africa,West Indies,South Africa,"Kingsmead, Durban",2015/01/16,2015
New Zealand,Sri Lanka,no result,"Eden Park, Auckland",2015/01/17,2015
Afghanistan,Ireland,Afghanistan,"DSC, Dubai",2015/01/17,2015
Australia,India,Australia,"Melbourne Cricket Ground, Melbourne",2015/01/18,2015
South Africa,West Indies,South Africa,"The Wanderers Stadium, Johannesburg",2015/01/18,2015
Ireland,Scotland,no result,"ICCA, Dubai",2015/01/19,2015
New Zealand,Sri Lanka,New Zealand,"Saxton Oval, Nelson",2015/01/20,2015
England,India,England,"The Gabba, Brisbane",2015/01/20,2015
South Africa,West Indies,South Africa,"Buffalo Park, East London",2015/01/21,2015
New Zealand,Sri Lanka,New Zealand,"University Oval, Dunedin",2015/01/23,2015
Australia,England,Australia,"Bellerive Oval, Hobart",2015/01/23,2015
New Zealand,Sri Lanka,New Zealand,"University Oval, Dunedin",2015/01/25,2015
South Africa,West Indies,West Indies,"St George's Park, Gqeberha",2015/01/25,2015
Australia,India,no result,"Sydney Cricket Ground, Sydney",2015/01/26,2015
South Africa,West Indies,South Africa,"SuperSport Park, Centurion",2015/01/28,2015
New Zealand,Sri Lanka,Sri Lanka,"Sky Stadium, Wellington",2015/01/29,2015
England,India,England,"W.A.C.A. Ground, Perth",2015/01/30,2015
New Zealand,Pakistan,New Zealand,"Sky Stadium, Wellington",2015/01/31,2015
Australia,England,Australia,"W.A.C.A. Ground, Perth",2015/02/01,2015
New Zealand,Pakistan,New Zealand,"McLean Park, Napier",2015/02/03,2015
New Zealand,Sri Lanka,New Zealand,"Hagley Oval, Christchurch",2015/02/14,2015
Australia,England,Australia,"Melbourne Cricket Ground, Melbourne",2015/02/14,2015
South Africa,Zimbabwe,South Africa,"Seddon Park, Hamilton",2015/02/15,2015
India,Pakistan,India,"Adelaide Oval, Adelaide",2015/02/15,2015
Ireland,West Indies,Ireland,"Saxton Oval, Nelson",2015/02/16,2015
New Zealand,Scotland,New Zealand,"University Oval, Dunedin",2015/02/17,2015
Afghanistan,Bangladesh,Bangladesh,"Manuka Oval, Canberra",2015/02/18,2015
U.A.E.,Zimbabwe,Zimbabwe,"Saxton Oval, Nelson",2015/02/19,2015
New Zealand,England,New Zealand,"Sky Stadium, Wellington",2015/02/20,2015
Pakistan,West Indies,West Indies,"Hagley Oval, Christchurch",2015/02/21,2015
Afghanistan,Sri Lanka,Sri Lanka,"University Oval, Dunedin",2015/02/22,2015
India,South Africa,India,"Melbourne Cricket Ground, Melbourne",2015/02/22,2015
England,Scotland,England,"Hagley Oval, Christchurch",2015/02/23,2015
West Indies,Zimbabwe,West Indies,"Manuka Oval, Canberra",2015/02/24,2015
Ireland,U.A.E.,Ireland,"The Gabba, Brisbane",2015/02/25,2015
Afghanistan,Scotland,Afghanistan,"University Oval, Dunedin",2015/02/26,2015
Bangladesh,Sri Lanka,Sri Lanka,"Melbourne Cricket Ground, Melbourne",2015/02/26,2015
South Africa,West Indies,South Africa,"Sydney Cricket Ground, Sydney",2015/02/27,2015
New Zealand,Australia,New Zealand,"Eden Park, Auckland",2015/02/28,2015
India,U.A.E.,India,"W.A.C.A. Ground, Perth",2015/02/28,2015
England,Sri Lanka,Sri Lanka,"Sky Stadium, Wellington",2015/03/01,2015
Pakistan,Zimbabwe,Pakistan,"The Gabba, Brisbane",2015/03/01,2015
Ireland,South Africa,South Africa,"Manuka Oval, Canberra",2015/03/03,2015
Pakistan,U.A.E.,Pakistan,"McLean Park, Napier",2015/03/04,2015
Australia,Afghanistan,Australia,"W.A.C.A. Ground, Perth",2015/03/04,2015
Bangladesh,Scotland,Bangladesh,"Saxton Oval, Nelson",2015/03/05,2015
India,West Indies,India,"W.A.C.A. Ground, Perth",2015/03/06,2015
Pakistan,South Africa,Pakistan,"Eden Park, Auckland",2015/03/07,2015
Ireland,Zimbabwe,Ireland,"Bellerive Oval, Hobart",2015/03/07,2015
New Zealand,Afghanistan,New Zealand,"McLean Park, Napier",2015/03/08,2015
Australia,Sri Lanka,Australia,"Sydney Cricket Ground, Sydney",2015/03/08,2015
Bangladesh,England,Bangladesh,"Adelaide Oval, Adelaide",2015/03/09,2015
India,Ireland,India,"Seddon Park, Hamilton",2015/03/10,2015
Scotland,Sri Lanka,Sri Lanka,"Bellerive Oval, Hobart",2015/03/11,2015
South Africa,U.A.E.,South Africa,"Sky Stadium, Wellington",2015/03/12,2015
New Zealand,Bangladesh,New Zealand,"Seddon Park, Hamilton",2015/03/13,2015
Afghanistan,England,England,"Sydney Cricket Ground, Sydney",2015/03/13,2015
India,Zimbabwe,India,"Eden Park, Auckland",2015/03/14,2015
Australia,Scotland,Australia,"Bellerive Oval, Hobart",2015/03/14,2015
U.A.E.,West Indies,West Indies,"McLean Park, Napier",2015/03/15,2015
Ireland,Pakistan,Pakistan,"Adelaide Oval, Adelaide",2015/03/15,2015
South Africa,Sri Lanka,South Africa,"Sydney Cricket Ground, Sydney",2015/03/18,2015
Bangladesh,India,India,"Melbourne Cricket Ground, Melbourne",2015/03/19,2015
Australia,Pakistan,Australia,"Adelaide Oval, Adelaide",2015/03/20,2015
New Zealand,West Indies,New Zealand,"Sky Stadium, Wellington",2015/03/21,2015
New Zealand,South Africa,New Zealand,"Eden Park, Auckland",2015/03/24,2015
Australia,India,Australia,"Sydney Cricket Ground, Sydney",2015/03/26,2015
Australia,New Zealand,Australia,"Melbourne Cricket Ground, Melbourne",2015/03/29,2015
Bangladesh,Pakistan,Bangladesh,"Mirpur Stadium, Mirpur",2015/04/17,2015
Bangladesh,Pakistan,Bangladesh,"Mirpur Stadium, Mirpur",2015/04/19,2015
Bangladesh,Pakistan,Bangladesh,"Mirpur Stadium, Mirpur",2015/04/22,2015
Ireland,England,no result,"Malahide, Dublin",2015/05/08,2015
Pakistan,Zimbabwe,Pakistan,"Gaddafi Stadium, Lahore",2015/05/26,2015
Pakistan,Zimbabwe,Pakistan,"Gaddafi Stadium, Lahore",2015/05/29,2015
Pakistan,Zimbabwe,no result,"Gaddafi Stadium, Lahore",2015/05/31,2015
England,New Zealand,England,"Edgbaston, Birmingham",2015/06/09,2015
England,New Zealand,New Zealand,"The Oval, Surrey",2015/06/12,2015
England,New Zealand,New Zealand,"County Ground, Southampton",2015/06/14,2015
England,New Zealand,England,"Trent Bridge, Nottingham",2015/06/17,2015
Bangladesh,India,Bangladesh,"Mirpur Stadium, Mirpur",2015/06/18,2015
England,New Zealand,England,"Riverside Ground, Chester-le-Street",2015/06/20,2015
Bangladesh,India,Bangladesh,"Mirpur Stadium, Mirpur",2015/06/21,2015
Bangladesh,India,India,"Mirpur Stadium, Mirpur",2015/06/24,2015
Zimbabwe,India,India,"Harare Sports Club, Harare",2015/07/10,2015
Bangladesh,South Africa,South Africa,"Mirpur Stadium, Mirpur",2015/07/10,2015
Sri Lanka,Pakistan,Pakistan,Dambulla,2015/07/11,2015
Zimbabwe,India,India,"Harare Sports Club, Harare",2015/07/12,2015
Bangladesh,South Africa,Bangladesh,"Mirpur Stadium, Mirpur",2015/07/12,2015
Zimbabwe,India,India,"Harare Sports Club, Harare",2015/07/14,2015
Bangladesh,South Africa,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",2015/07/15,2015
Sri Lanka,Pakistan,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele",2015/07/15,2015
Sri Lanka,Pakistan,Pakistan,"R.Premadasa Stadium, Colombo",2015/07/19,2015
Sri Lanka,Pakistan,Pakistan,"R.Premadasa Stadium, Colombo",2015/07/22,2015
Sri Lanka,Pakistan,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota",2015/07/26,2015
Zimbabwe,New Zealand,Zimbabwe,"Harare Sports Club, Harare",2015/08/02,2015
Zimbabwe,New Zealand,New Zealand,"Harare Sports Club, Harare",2015/08/04,2015
Zimbabwe,New Zealand,New Zealand,"Harare Sports Club, Harare",2015/08/07,2015
South Africa,New Zealand,South Africa,"SuperSport Park, Centurion",2015/08/19,2015
South Africa,New Zealand,New Zealand,"Senwes Park, Potchefstroom",2015/08/23,2015
South Africa,New Zealand,South Africa,"Kingsmead, Durban",2015/08/26,2015
Ireland,Australia,Australia,"Stormont, Belfast",2015/08/27,2015
England,Australia,Australia,"County Ground, Southampton",2015/09/03,2015
England,Australia,Australia,"Lord's, London",2015/09/05,2015
England,Australia,England,"Emirates Old Trafford, Manchester",2015/09/08,2015
England,Australia,England,"Headingley, Leeds",2015/09/11,2015
England,Australia,Australia,"Emirates Old Trafford, Manchester",2015/09/13,2015
Zimbabwe,Pakistan,Pakistan,"Harare Sports Club, Harare",2015/10/01,2015
Zimbabwe,Pakistan,Zimbabwe,"Harare Sports Club, Harare",2015/10/03,2015
Zimbabwe,Pakistan,Pakistan,"Harare Sports Club, Harare",2015/10/05,2015
Zimbabwe,Ireland,Zimbabwe,"Harare Sports Club, Harare",2015/10/09,2015
India,South Africa,South Africa,Kanpur,2015/10/11,2015
Zimbabwe,Ireland,Zimbabwe,"Harare Sports Club, Harare",2015/10/11,2015
Zimbabwe,Ireland,Ireland,"Harare Sports Club, Harare",2015/10/13,2015
India,South Africa,India,"Indore Stadium, Indore",2015/10/14,2015
Zimbabwe,Afghanistan,Zimbabwe,"Queens Sports Club, Bulawayo",2015/10/16,2015
Zimbabwe,Afghanistan,Afghanistan,"Queens Sports Club, Bulawayo",2015/10/18,2015
India,South Africa,South Africa,"Saurashtra Cricket Association Stadium, Rajkot",2015/10/18,2015
Zimbabwe,Afghanistan,Zimbabwe,"Queens Sports Club, Bulawayo",2015/10/20,2015
Zimbabwe,Afghanistan,Afghanistan,"Queens Sports Club, Bulawayo",2015/10/22,2015
India,South Africa,India,"MA Chidambaram Stadium, Chennai",2015/10/22,2015
Zimbabwe,Afghanistan,Afghanistan,"Queens Sports Club, Bulawayo",2015/10/24,2015
India,South Africa,South Africa,"Wankhede Stadium, Mumbai",2015/10/25,2015
Sri Lanka,West Indies,Sri Lanka,"R.Premadasa Stadium, Colombo",2015/11/01,2015
Sri Lanka,West Indies,Sri Lanka,"R.Premadasa Stadium, Colombo",2015/11/04,2015
Bangladesh,Zimbabwe,Bangladesh,"Mirpur Stadium, Mirpur",2015/11/07,2015
Sri Lanka,West Indies,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele",2015/11/07,2015
Bangladesh,Zimbabwe,Bangladesh,"Mirpur Stadium, Mirpur",2015/11/09,2015
Bangladesh,Zimbabwe,Bangladesh,"Mirpur Stadium, Mirpur",2015/11/11,2015
England,Pakistan,Pakistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2015/11/11,2015
England,Pakistan,England,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2015/11/13,2015
U.A.E.,Hong Kong,Hong Kong,"ICCA, Dubai",2015/11/16,2015
England,Pakistan,England,"Sharjah Cricket Stadium, Sharjah",2015/11/17,2015
U.A.E.,Hong Kong,Hong Kong,"ICCA, Dubai",2015/11/18,2015
England,Pakistan,England,"DSC, Dubai",2015/11/20,2015
Afghanistan,Zimbabwe,Afghanistan,"Sharjah Cricket Stadium, Sharjah",2015/12/25,2015
New Zealand,Sri Lanka,New Zealand,"Hagley Oval, Christchurch",2015/12/26,2015
New Zealand,Sri Lanka,New Zealand,"Hagley Oval, Christchurch",2015/12/28,2015
Afghanistan,Zimbabwe,Afghanistan,"Sharjah Cricket Stadium, Sharjah",2015/12/29,2015
New Zealand,Sri Lanka,Sri Lanka,"Saxton Oval, Nelson",2015/12/31,2015
New Zealand,Sri Lanka,no result,"Saxton Oval, Nelson",2016/01/02,2016
Afghanistan,Zimbabwe,Zimbabwe,"Sharjah Cricket Stadium, Sharjah",2016/01/02,2016
Afghanistan,Zimbabwe,Zimbabwe,"Sharjah Cricket Stadium, Sharjah",2016/01/04,2016
New Zealand,Sri Lanka,New Zealand,"Bay Oval, Mount Maunganui",2016/01/05,2016
Afghanistan,Zimbabwe,Afghanistan,"Sharjah Cricket Stadium, Sharjah",2016/01/06,2016
Australia,India,Australia,"W.A.C.A. Ground, Perth",2016/01/12,2016
Australia,India,Australia,"The Gabba, Brisbane",2016/01/15,2016
Australia,India,Australia,"Melbourne Cricket Ground, Melbourne",2016/01/17,2016
Australia,India,Australia,"Manuka Oval, Canberra",2016/01/20,2016
Australia,India,India,"Sydney Cricket Ground, Sydney",2016/01/23,2016
New Zealand,Pakistan,New Zealand,"Sky Stadium, Wellington",2016/01/25,2016
Hong Kong,Scotland,Hong Kong,Mong Kok,2016/01/26,2016
New Zealand,Pakistan,New Zealand,"Eden Park, Auckland",2016/01/31,2016
New Zealand,Australia,New Zealand,"Eden Park, Auckland",2016/02/03,2016
South Africa,England,England,"Mangaung Oval, Bloemfontein",2016/02/03,2016
New Zealand,Australia,Australia,"Sky Stadium, Wellington",2016/02/06,2016
South Africa,England,England,"St George's Park, Gqeberha",2016/02/06,2016
New Zealand,Australia,New Zealand,"Seddon Park, Hamilton",2016/02/08,2016
South Africa,England,South Africa,"SuperSport Park, Centurion",2016/02/09,2016
South Africa,England,South Africa,"The Wanderers Stadium, Johannesburg",2016/02/12,2016
South Africa,England,South Africa,"Newlands, Cape Town",2016/02/14,2016
West Indies,South Africa,West Indies,"Providence Stadium, Providence",2016/06/03,2016
West Indies,Australia,Australia,"Providence Stadium, Providence",2016/06/05,2016
Australia,South Africa,South Africa,"Providence Stadium, Providence",2016/06/07,2016
Zimbabwe,India,India,"Harare Sports Club, Harare",2016/06/11,2016
Australia,South Africa,Australia,"Basseterre, Basseterre",2016/06/11,2016
Zimbabwe,India,India,"Harare Sports Club, Harare",2016/06/13,2016
West Indies,Australia,West Indies,"Basseterre, Basseterre",2016/06/13,2016
Zimbabwe,India,India,"Harare Sports Club, Harare",2016/06/15,2016
West Indies,South Africa,South Africa,"Basseterre, Basseterre",2016/06/15,2016
Ireland,Sri Lanka,Sri Lanka,"Malahide, Dublin",2016/06/16,2016
Ireland,Sri Lanka,Sri Lanka,"Malahide, Dublin",2016/06/18,2016
Australia,South Africa,no result,"Kensington Oval, Bridgetown",2016/06/19,2016
England,Sri Lanka,tied,"Trent Bridge, Nottingham",2016/06/21,2016
West Indies,Australia,Australia,"Kensington Oval, Bridgetown",2016/06/21,2016
England,Sri Lanka,England,"Edgbaston, Birmingham",2016/06/24,2016
West Indies,South Africa,West Indies,"Kensington Oval, Bridgetown",2016/06/24,2016
England,Sri Lanka,no result,"County Ground, Bristol",2016/06/26,2016
West Indies,Australia,Australia,"Kensington Oval, Bridgetown",2016/06/26,2016
England,Sri Lanka,England,"The Oval, Surrey",2016/06/29,2016
England,Sri Lanka,England,"Sophia Gardens, Cardiff",2016/07/02,2016
Scotland,Afghanistan,no result,"Grange Cricket Club, Edinburgh",2016/07/04,2016
Scotland,Afghanistan,Afghanistan,"Grange Cricket Club, Edinburgh",2016/07/06,2016
Ireland,Afghanistan,Afghanistan,"Stormont, Belfast",2016/07/12,2016
Ireland,Afghanistan,Ireland,"Stormont, Belfast",2016/07/14,2016
Ireland,Afghanistan,Afghanistan,"Stormont, Belfast",2016/07/17,2016
Ireland,Afghanistan,Ireland,"Stormont, Belfast",2016/07/19,2016
Scotland,U.A.E.,Scotland,"Grange Cricket Club, Edinburgh",2016/08/14,2016
Scotland,U.A.E.,Scotland,"Grange Cricket Club, Edinburgh",2016/08/16,2016
Ireland,Pakistan,Pakistan,"Malahide, Dublin",2016/08/18,2016
Sri Lanka,Australia,Australia,"R.Premadasa Stadium, Colombo",2016/08/21,2016
Sri Lanka,Australia,Sri Lanka,"R.Premadasa Stadium, Colombo",2016/08/24,2016
England,Pakistan,England,"County Ground, Southampton",2016/08/24,2016
England,Pakistan,England,"Lord's, London",2016/08/27,2016
Sri Lanka,Australia,Australia,Dambulla,2016/08/28,2016
England,Pakistan,England,"Trent Bridge, Nottingham",2016/08/30,2016
Sri Lanka,Australia,Australia,Dambulla,2016/08/31,2016
England,Pakistan,England,"Headingley, Leeds",2016/09/01,2016
Sri Lanka,Australia,Australia,"Pallekele International Cricket Stadium, Pallekele",2016/09/04,2016
England,Pakistan,Pakistan,"Sophia Gardens, Cardiff",2016/09/04,2016
Scotland,Hong Kong,no result,"Grange Cricket Club, Edinburgh",2016/09/08,2016
Scotland,Hong Kong,Scotland,"Grange Cricket Club, Edinburgh",2016/09/10,2016
South Africa,Ireland,South Africa,"Willowmoore Park, Benoni",2016/09/25,2016
Bangladesh,Afghanistan,Bangladesh,"Mirpur Stadium, Mirpur",2016/09/25,2016
